target,source,flow
Iowa,Michigan,730
Iowa,Minnesota,8401
Iowa,Mississippi,433
Iowa,Missouri,4932
Iowa,Montana,123
Iowa,Nebraska,7216
Iowa,Nevada,659
Iowa,New Hampshire,269
Iowa,New Jersey,698
Iowa,New Mexico,403
Iowa,New York,295
Iowa,North Carolina,852
Iowa,North Dakota,287
Iowa,Ohio,2013
Iowa,Oklahoma,1391
Iowa,Oregon,605
Iowa,Pennsylvania,154
Iowa,Rhode Island,95
Iowa,South Carolina,875
Iowa,South Dakota,1535
Iowa,Tennessee,1747
Iowa,Texas,4325
Iowa,Utah,77
Iowa,Vermont,95
Iowa,Virginia,834
Iowa,Washington,2086
Iowa,West Virginia,45
Iowa,Wisconsin,3140
Iowa,Wyoming,229
Kansas,Alabama,717
Kansas,Alaska,201
Kansas,Arizona,2079
Kansas,Arkansas,1504
Kansas,California,6137
Kansas,Colorado,5327
Kansas,Connecticut,436
Kansas,Delaware,340
Kansas,District of Columbia ,125
Kansas,Florida,3364
Kansas,Georgia,2002
Kansas,Hawaii,457
Kansas,Idaho,76
Kansas,Illinois,2870
Kansas,Indiana,1470
Kansas,Iowa,2970
Kansas,Kentucky,1612
Kansas,Louisiana,458
Kansas,Maine,145
Kansas,Maryland,815
Kansas,Massachusetts,621
Kansas,Michigan,2205
Kansas,Minnesota,729
Kansas,Mississippi,20
Kansas,Missouri,21840
Kansas,Montana,6
Kansas,Nebraska,3138
Kansas,Nevada,460
Kansas,New Hampshire,189
Kansas,New Jersey,759
Kansas,New Mexico,1425
Kansas,New York,1665
Kansas,North Carolina,1982
Kansas,North Dakota,7
Kansas,Ohio,1085
Kansas,Oklahoma,4626
Kansas,Oregon,673
Kansas,Pennsylvania,1412
Kansas,Rhode Island,0
Kansas,South Carolina,683
Kansas,South Dakota,95
Kansas,Tennessee,1928
Kansas,Texas,7577
Kansas,Utah,1767
Kansas,Vermont,0
Kansas,Virginia,1053
Kansas,Washington,1548
Kansas,West Virginia,160
Kansas,Wisconsin,189
Kansas,Wyoming,393
Kentucky,Alabama,1463
Kentucky,Alaska,237
Kentucky,Arizona,772
Kentucky,Arkansas,516
Kentucky,California,4828
Kentucky,Colorado,1510
Kentucky,Connecticut,371
Kentucky,Delaware,391
Kentucky,District of Columbia ,211
Kentucky,Florida,7031
Kentucky,Georgia,4830
Kentucky,Hawaii,373
Kentucky,Idaho,0
Kentucky,Illinois,4776
Kentucky,Indiana,9982
Kentucky,Iowa,750
Kentucky,Kansas,1976
Kentucky,Louisiana,280
Kentucky,Maine,477
Kentucky,Maryland,2040
Kentucky,Massachusetts,1197
Kentucky,Michigan,2617
Kentucky,Minnesota,509
Kentucky,Mississippi,528
Kentucky,Missouri,1731
Kentucky,Montana,0
Kentucky,Nebraska,894
Kentucky,Nevada,404
Kentucky,New Hampshire,22
Kentucky,New Jersey,273
Kentucky,New Mexico,463
Kentucky,New York,3383
Kentucky,North Carolina,3622
Kentucky,North Dakota,49
Kentucky,Ohio,14779
Kentucky,Oklahoma,786
Kentucky,Oregon,1143
Kentucky,Pennsylvania,3135
Kentucky,Rhode Island,0
Kentucky,South Carolina,1967
Kentucky,South Dakota,0
Kentucky,Tennessee,12533
Kentucky,Texas,5595
Kentucky,Utah,327
Kentucky,Vermont,0
Kentucky,Virginia,2015
Kentucky,Washington,1668
Kentucky,West Virginia,3349
Kentucky,Wisconsin,590
Kentucky,Wyoming,525
Louisiana,Alabama,3318
Louisiana,Alaska,101
Louisiana,Arizona,279
Louisiana,Arkansas,2993
Louisiana,California,7318
Louisiana,Colorado,1178
Louisiana,Connecticut,164
Louisiana,Delaware,15
Louisiana,District of Columbia ,92
Louisiana,Florida,5404
Louisiana,Georgia,4077
Louisiana,Hawaii,302
Louisiana,Idaho,60
Louisiana,Illinois,2942
Louisiana,Indiana,1120
