target,source,flow
Ohio,Louisiana,1373
Oklahoma,Louisiana,1807
Oregon,Louisiana,607
Pennsylvania,Louisiana,965
Rhode Island,Louisiana,170
South Carolina,Louisiana,992
South Dakota,Louisiana,118
Tennessee,Louisiana,2184
Texas,Louisiana,21925
Utah,Louisiana,280
Vermont,Louisiana,122
Virginia,Louisiana,2548
Washington,Louisiana,1516
West Virginia,Louisiana,586
Wisconsin,Louisiana,714
Wyoming,Louisiana,162
Alabama,Maine,471
Alaska,Maine,7
Arizona,Maine,257
Arkansas,Maine,0
California,Maine,1315
Colorado,Maine,407
Connecticut,Maine,1664
Delaware,Maine,26
District of Columbia ,Maine,162
Florida,Maine,2967
Georgia,Maine,248
Hawaii,Maine,579
Idaho,Maine,13
Illinois,Maine,448
Indiana,Maine,114
Iowa,Maine,473
Kansas,Maine,41
Kentucky,Maine,429
Louisiana,Maine,118
Maryland,Maine,332
Massachusetts,Maine,7799
Michigan,Maine,256
Minnesota,Maine,224
Mississippi,Maine,0
Missouri,Maine,1163
Montana,Maine,26
Nebraska,Maine,0
Nevada,Maine,0
New Hampshire,Maine,5649
New Jersey,Maine,1888
New Mexico,Maine,160
New York,Maine,1896
North Carolina,Maine,1042
North Dakota,Maine,429
Ohio,Maine,236
Oklahoma,Maine,143
Oregon,Maine,188
Pennsylvania,Maine,986
Rhode Island,Maine,1150
South Carolina,Maine,345
South Dakota,Maine,0
Tennessee,Maine,461
Texas,Maine,610
Utah,Maine,589
Vermont,Maine,661
Virginia,Maine,1276
Washington,Maine,907
West Virginia,Maine,107
Wisconsin,Maine,328
Wyoming,Maine,0
Alabama,Maryland,1241
Alaska,Maryland,53
Arizona,Maryland,940
Arkansas,Maryland,349
California,Maryland,6348
Colorado,Maryland,2210
Connecticut,Maryland,707
Delaware,Maryland,5674
District of Columbia ,Maryland,19754
Florida,Maryland,10887
Georgia,Maryland,6942
Hawaii,Maryland,1595
Idaho,Maryland,108
Illinois,Maryland,1193
Indiana,Maryland,468
Iowa,Maryland,326
Kansas,Maryland,655
Kentucky,Maryland,701
Louisiana,Maryland,406
Maine,Maryland,281
Massachusetts,Maryland,2559
Michigan,Maryland,2149
Minnesota,Maryland,661
Mississippi,Maryland,1246
Missouri,Maryland,515
Montana,Maryland,65
Nebraska,Maryland,427
Nevada,Maryland,512
New Hampshire,Maryland,61
New Jersey,Maryland,7411
New Mexico,Maryland,1416
New York,Maryland,11622
North Carolina,Maryland,7845
North Dakota,Maryland,62
Ohio,Maryland,4295
Oklahoma,Maryland,382
Oregon,Maryland,522
Pennsylvania,Maryland,13462
Rhode Island,Maryland,928
South Carolina,Maryland,1651
South Dakota,Maryland,198
Tennessee,Maryland,2288
Texas,Maryland,5229
Utah,Maryland,387
Vermont,Maryland,347
Virginia,Maryland,23926
Washington,Maryland,2176
West Virginia,Maryland,4744
Wisconsin,Maryland,723
Wyoming,Maryland,0
Alabama,Massachusetts,681
Alaska,Massachusetts,115
Arizona,Massachusetts,2511
Arkansas,Massachusetts,388
California,Massachusetts,12831
Colorado,Massachusetts,3046
Connecticut,Massachusetts,11229
Delaware,Massachusetts,308
District of Columbia ,Massachusetts,1398
Florida,Massachusetts,11295
Georgia,Massachusetts,2517
Hawaii,Massachusetts,457
Idaho,Massachusetts,96
Illinois,Massachusetts,6227
Indiana,Massachusetts,1282
Iowa,Massachusetts,378
