source,target,flow,year
Florida,Nevada,3381,2009
Florida,New Hampshire,5891,2009
Florida,New Jersey,15674,2009
Florida,New Mexico,1676,2009
Florida,New York,53482,2009
Florida,North Carolina,25128,2009
Florida,North Dakota,574,2009
Florida,Ohio,21346,2009
Florida,Oklahoma,2441,2009
Florida,Oregon,2869,2009
Florida,Pennsylvania,21680,2009
Florida,Rhode Island,3471,2009
Florida,South Carolina,9760,2009
Florida,South Dakota,913,2009
Florida,Tennessee,11927,2009
Florida,Texas,19680,2009
Florida,Utah,2510,2009
Florida,Vermont,1322,2009
Florida,Virginia,19597,2009
Florida,Washington,8343,2009
Florida,West Virginia,4312,2009
Florida,Wisconsin,6214,2009
Florida,Wyoming,423,2009
Georgia,Alabama,18302,2009
Georgia,Alaska,2137,2009
Georgia,Arizona,1747,2009
Georgia,Arkansas,1720,2009
Georgia,California,16980,2009
Georgia,Colorado,3921,2009
Georgia,Connecticut,3345,2009
Georgia,Delaware,666,2009
Georgia,District of Columbia ,651,2009
Georgia,Florida,43170,2009
Georgia,Hawaii,958,2009
Georgia,Idaho,504,2009
Georgia,Illinois,9567,2009
Georgia,Indiana,7054,2009
Georgia,Iowa,1179,2009
Georgia,Kansas,1472,2009
Georgia,Kentucky,7156,2009
Georgia,Louisiana,3742,2009
Georgia,Maine,273,2009
Georgia,Maryland,8479,2009
Georgia,Massachusetts,4527,2009
Georgia,Michigan,9173,2009
Georgia,Minnesota,2024,2009
Georgia,Mississippi,4905,2009
Georgia,Missouri,2879,2009
Georgia,Montana,649,2009
Georgia,Nebraska,494,2009
Georgia,Nevada,1952,2009
Georgia,New Hampshire,168,2009
Georgia,New Jersey,5015,2009
Georgia,New Mexico,388,2009
Georgia,New York,12563,2009
Georgia,North Carolina,14348,2009
Georgia,North Dakota,357,2009
Georgia,Ohio,11264,2009
Georgia,Oklahoma,2360,2009
Georgia,Oregon,3291,2009
Georgia,Pennsylvania,5786,2009
Georgia,Rhode Island,246,2009
Georgia,South Carolina,13214,2009
Georgia,South Dakota,202,2009
Georgia,Tennessee,13459,2009
Georgia,Texas,16366,2009
Georgia,Utah,485,2009
Georgia,Vermont,261,2009
Georgia,Virginia,12788,2009
Georgia,Washington,3134,2009
Georgia,West Virginia,710,2009
Georgia,Wisconsin,962,2009
Georgia,Wyoming,997,2009
Hawaii,Alabama,1163,2009
Hawaii,Alaska,1245,2009
Hawaii,Arizona,1153,2009
Hawaii,Arkansas,281,2009
Hawaii,California,11820,2009
Hawaii,Colorado,936,2009
Hawaii,Connecticut,299,2009
Hawaii,Delaware,139,2009
Hawaii,District of Columbia ,214,2009
Hawaii,Florida,2843,2009
Hawaii,Georgia,1163,2009
Hawaii,Idaho,496,2009
Hawaii,Illinois,1271,2009
Hawaii,Indiana,102,2009
Hawaii,Iowa,256,2009
Hawaii,Kansas,78,2009
Hawaii,Kentucky,612,2009
Hawaii,Louisiana,121,2009
Hawaii,Maine,322,2009
Hawaii,Maryland,239,2009
Hawaii,Massachusetts,1052,2009
Hawaii,Michigan,2468,2009
Hawaii,Minnesota,633,2009
Hawaii,Mississippi,68,2009
Hawaii,Missouri,140,2009
Hawaii,Montana,758,2009
Hawaii,Nebraska,55,2009
Hawaii,Nevada,1663,2009
Hawaii,New Hampshire,222,2009
Hawaii,New Jersey,763,2009
Hawaii,New Mexico,634,2009
Hawaii,New York,2038,2009
Hawaii,North Carolina,1912,2009
Hawaii,North Dakota,0,2009
Hawaii,Ohio,244,2009
Hawaii,Oklahoma,737,2009
Hawaii,Oregon,1392,2009
Hawaii,Pennsylvania,137,2009
Hawaii,Rhode Island,202,2009
Hawaii,South Carolina,211,2009
Hawaii,South Dakota,280,2009
Hawaii,Tennessee,231,2009
Hawaii,Texas,3161,2009
Hawaii,Utah,917,2009
Hawaii,Vermont,387,2009
Hawaii,Virginia,3270,2009
Hawaii,Washington,4758,2009
Hawaii,West Virginia,71,2009
Hawaii,Wisconsin,65,2009
Hawaii,Wyoming,48,2009
Idaho,Alabama,74,2009
Idaho,Alaska,710,2009
Idaho,Arizona,4727,2009
Idaho,Arkansas,586,2009
Idaho,California,10088,2009
Idaho,Colorado,1334,2009
Idaho,Connecticut,474,2009
Idaho,Delaware,0,2009
Idaho,District of Columbia ,0,2009
Idaho,Florida,2139,2009
Idaho,Georgia,331,2009
Idaho,Hawaii,320,2009
Idaho,Illinois,357,2009
Idaho,Indiana,112,2009
Idaho,Iowa,342,2009
Idaho,Kansas,587,2009
Idaho,Kentucky,74,2009
Idaho,Louisiana,204,2009
Idaho,Maine,358,2009
Idaho,Maryland,314,2009
Idaho,Massachusetts,179,2009
Idaho,Michigan,332,2009
Idaho,Minnesota,390,2009
Idaho,Mississippi,27,2009
Idaho,Missouri,281,2009
Idaho,Montana,1713,2009
Idaho,Nebraska,177,2009
Idaho,Nevada,2838,2009
Idaho,New Hampshire,0,2009
Idaho,New Jersey,422,2009
Idaho,New Mexico,521,2009
Idaho,New York,268,2009
Idaho,North Carolina,920,2009
Idaho,North Dakota,227,2009
Idaho,Ohio,583,2009
Idaho,Oklahoma,435,2009
Idaho,Oregon,3208,2009
Idaho,Pennsylvania,171,2009
Idaho,Rhode Island,65,2009
Idaho,South Carolina,12,2009
Idaho,South Dakota,263,2009
Idaho,Tennessee,104,2009
Idaho,Texas,1744,2009
Idaho,Utah,4599,2009
Idaho,Vermont,0,2009
Idaho,Virginia,1114,2009
Idaho,Washington,11906,2009
Idaho,West Virginia,0,2009
Idaho,Wisconsin,796,2009
Idaho,Wyoming,1284,2009
Illinois,Alabama,1959,2009
Illinois,Alaska,572,2009
Illinois,Arizona,5238,2009
Illinois,Arkansas,2061,2009
Illinois,California,12828,2009
Illinois,Colorado,4698,2009
Illinois,Connecticut,943,2009
Illinois,Delaware,749,2009
Illinois,District of Columbia ,1241,2009
Illinois,Florida,17472,2009
Illinois,Georgia,6397,2009
Illinois,Hawaii,2151,2009
Illinois,Idaho,720,2009
Illinois,Indiana,19672,2009
Illinois,Iowa,11109,2009
Illinois,Kansas,2322,2009
Illinois,Kentucky,3818,2009
Illinois,Louisiana,1761,2009
Illinois,Maine,418,2009
Illinois,Maryland,1690,2009
Illinois,Massachusetts,3518,2009
Illinois,Michigan,11703,2009
Illinois,Minnesota,4761,2009
Illinois,Mississippi,909,2009
Illinois,Missouri,10379,2009
Illinois,Montana,100,2009
Illinois,Nebraska,174,2009
Illinois,Nevada,2485,2009
Illinois,New Hampshire,299,2009
Illinois,New Jersey,2293,2009
Illinois,New Mexico,1008,2009
Illinois,New York,9262,2009
Illinois,North Carolina,4430,2009
Illinois,North Dakota,562,2009
Illinois,Ohio,6915,2009
Illinois,Oklahoma,1804,2009
Illinois,Oregon,455,2009
Illinois,Pennsylvania,4363,2009
Illinois,Rhode Island,717,2009
Illinois,South Carolina,2150,2009
Illinois,South Dakota,303,2009
Illinois,Tennessee,4949,2009
Illinois,Texas,11722,2009
Illinois,Utah,681,2009
Illinois,Vermont,370,2009
Illinois,Virginia,5454,2009
Illinois,Washington,2659,2009
Illinois,West Virginia,724,2009
Illinois,Wisconsin,12412,2009
Illinois,Wyoming,241,2009
Indiana,Alabama,2729,2009
Indiana,Alaska,201,2009
Indiana,Arizona,3790,2009
Indiana,Arkansas,873,2009
Indiana,California,5806,2009
Indiana,Colorado,2900,2009
Indiana,Connecticut,400,2009
Indiana,Delaware,87,2009
Indiana,District of Columbia ,179,2009
Indiana,Florida,7823,2009
Indiana,Georgia,2744,2009
Indiana,Hawaii,458,2009
Indiana,Idaho,1187,2009
Indiana,Illinois,28173,2009
Indiana,Iowa,975,2009
Indiana,Kansas,711,2009
Indiana,Kentucky,8527,2009
Indiana,Louisiana,993,2009
Indiana,Maine,207,2009
Indiana,Maryland,770,2009
Indiana,Massachusetts,457,2009
Indiana,Michigan,12383,2009
Indiana,Minnesota,868,2009
Indiana,Mississippi,298,2009
Indiana,Missouri,2379,2009
Indiana,Montana,26,2009
Indiana,Nebraska,600,2009
Indiana,Nevada,282,2009
Indiana,New Hampshire,1559,2009
Indiana,New Jersey,808,2009
Indiana,New Mexico,357,2009
Indiana,New York,3470,2009
Indiana,North Carolina,1184,2009
Indiana,North Dakota,0,2009
Indiana,Ohio,13772,2009
Indiana,Oklahoma,629,2009
Indiana,Oregon,71,2009
Indiana,Pennsylvania,2389,2009
Indiana,Rhode Island,139,2009
Indiana,South Carolina,1378,2009
Indiana,South Dakota,303,2009
Indiana,Tennessee,2960,2009
Indiana,Texas,6906,2009
Indiana,Utah,1500,2009
Indiana,Vermont,679,2009
Indiana,Virginia,2043,2009
Indiana,Washington,1010,2009
Indiana,West Virginia,1100,2009
Indiana,Wisconsin,2906,2009
Indiana,Wyoming,570,2009
Iowa,Alabama,261,2009
Iowa,Alaska,440,2009
Iowa,Arizona,2142,2009
Iowa,Arkansas,590,2009
Iowa,California,3510,2009
Iowa,Colorado,2691,2009
Iowa,Connecticut,1059,2009
Iowa,Delaware,85,2009
