target,year,flow
Vermont,2014,22635
Vermont,2015,21232
Vermont,2016,21262
Vermont,2017,21868
Virginia,2005,242713
Virginia,2006,286216
Virginia,2007,274437
Virginia,2008,265253
Virginia,2009,269209
Virginia,2010,259507
Virginia,2011,257130
Virginia,2012,250653
Virginia,2013,266348
Virginia,2014,262477
Virginia,2015,277715
Virginia,2016,264164
Virginia,2017,250490
Washington,2005,211871
Washington,2006,227836
Washington,2007,203153
Washington,2008,204852
Washington,2009,192059
Washington,2010,191784
Washington,2011,208507
Washington,2012,215494
Washington,2013,208215
Washington,2014,220259
Washington,2015,230907
Washington,2016,257728
Washington,2017,260787
West Virginia,2005,46756
West Virginia,2006,50290
West Virginia,2007,52206
West Virginia,2008,53944
West Virginia,2009,49848
West Virginia,2010,39609
West Virginia,2011,50068
West Virginia,2012,47125
West Virginia,2013,51957
West Virginia,2014,47957
West Virginia,2015,42078
West Virginia,2016,47196
West Virginia,2017,40007
Wisconsin,2005,99533
Wisconsin,2006,100541
Wisconsin,2007,102374
Wisconsin,2008,105191
Wisconsin,2009,95148
Wisconsin,2010,93065
Wisconsin,2011,109439
Wisconsin,2012,99192
Wisconsin,2013,100846
Wisconsin,2014,117831
Wisconsin,2015,106511
Wisconsin,2016,118814
Wisconsin,2017,112519
Wyoming,2005,26314
Wyoming,2006,27353
Wyoming,2007,29027
Wyoming,2008,27320
Wyoming,2009,30889
Wyoming,2010,28046
Wyoming,2011,30651
Wyoming,2012,31149
Wyoming,2013,27584
Wyoming,2014,25992
Wyoming,2015,35947
Wyoming,2016,26471
Wyoming,2017,18511
