target,source,flow,year
New Mexico,Connecticut,0,2011
New Mexico,Delaware,0,2011
New Mexico,District of Columbia ,212,2011
New Mexico,Florida,2806,2011
New Mexico,Georgia,676,2011
New Mexico,Hawaii,81,2011
New Mexico,Idaho,355,2011
New Mexico,Minnesota,438,2011
New Mexico,Illinois,466,2011
New Mexico,Iowa,0,2011
New Mexico,Kansas,1333,2011
New Mexico,Kentucky,87,2011
New Mexico,Louisiana,184,2011
New Mexico,Maine,510,2011
New Mexico,Maryland,2277,2011
New Mexico,Massachusetts,252,2011
New Mexico,Indiana,2030,2011
New Mexico,Utah,303,2011
New Jersey,Indiana,718,2011
New Jersey,Idaho,256,2011
New Hampshire,Connecticut,1617,2011
New Hampshire,Delaware,20,2011
New Hampshire,District of Columbia ,68,2011
New Hampshire,Florida,1970,2011
New Hampshire,Georgia,535,2011
New Hampshire,Hawaii,0,2011
New Hampshire,Idaho,0,2011
New Hampshire,Colorado,403,2011
New Hampshire,Illinois,478,2011
New Hampshire,Iowa,47,2011
New Hampshire,Kansas,0,2011
New Hampshire,Kentucky,0,2011
New Hampshire,Louisiana,0,2011
New Hampshire,Maine,3080,2011
New Hampshire,Maryland,222,2011
New Hampshire,Massachusetts,15526,2011
New Hampshire,Indiana,470,2011
New Hampshire,Michigan,155,2011
New Hampshire,California,547,2011
New Hampshire,Arizona,246,2011
Nevada,Oregon,1691,2011
Nevada,Pennsylvania,570,2011
Nevada,Rhode Island,86,2011
Nevada,South Carolina,165,2011
Nevada,South Dakota,588,2011
Nevada,Tennessee,96,2011
Nevada,Texas,7249,2011
New Hampshire,Arkansas,22,2011
Nevada,Utah,3365,2011
Nevada,Virginia,1740,2011
Nevada,Washington,4680,2011
Nevada,West Virginia,0,2011
Nevada,Wisconsin,2672,2011
Nevada,Wyoming,933,2011
New Hampshire,Alabama,193,2011
New Hampshire,Alaska,0,2011
Nevada,Vermont,0,2011
New Jersey,Illinois,3690,2011
New Hampshire,Minnesota,104,2011
New Hampshire,Missouri,153,2011
New Hampshire,Washington,428,2011
New Hampshire,West Virginia,0,2011
New Hampshire,Wisconsin,0,2011
New Hampshire,Wyoming,162,2011
New Jersey,Alabama,189,2011
New Jersey,Alaska,1198,2011
New Jersey,Arizona,3784,2011
New Hampshire,Virginia,880,2011
New Jersey,Arkansas,57,2011
New Jersey,Colorado,2203,2011
New Jersey,Connecticut,1924,2011
New Jersey,Delaware,2100,2011
New Jersey,District of Columbia ,781,2011
New Jersey,Florida,12907,2011
New Jersey,Georgia,4268,2011
New Jersey,Hawaii,264,2011
New Jersey,California,5986,2011
New Hampshire,Mississippi,160,2011
New Hampshire,Vermont,2138,2011
New Hampshire,Texas,605,2011
New Hampshire,Montana,230,2011
New Hampshire,Nebraska,33,2011
New Hampshire,Nevada,186,2011
New Hampshire,New Jersey,294,2011
New Hampshire,New Mexico,186,2011
New Hampshire,New York,1471,2011
New Hampshire,North Carolina,1297,2011
New Hampshire,Utah,158,2011
New Hampshire,North Dakota,47,2011
New Hampshire,Oklahoma,0,2011
New Hampshire,Oregon,198,2011
New Hampshire,Pennsylvania,1015,2011
New Hampshire,Rhode Island,608,2011
New Hampshire,South Carolina,588,2011
New Hampshire,South Dakota,86,2011
New Hampshire,Tennessee,126,2011
New Hampshire,Ohio,248,2011
Missouri,Nebraska,4860,2011
Pennsylvania,Illinois,3902,2011
Pennsylvania,Iowa,1176,2011
Virginia,Ohio,9570,2011
Virginia,Oklahoma,853,2011
Virginia,Oregon,3499,2011
Virginia,Pennsylvania,12009,2011
Virginia,Rhode Island,1897,2011
Virginia,South Carolina,6612,2011
Virginia,South Dakota,908,2011
Virginia,Tennessee,7482,2011
Virginia,Texas,11655,2011
Virginia,Utah,1426,2011
Virginia,Vermont,173,2011
Virginia,Washington,4615,2011
Virginia,West Virginia,9041,2011
Virginia,Wisconsin,858,2011
Virginia,Wyoming,190,2011
Virginia,North Dakota,462,2011
Virginia,North Carolina,22753,2011
Virginia,New York,12455,2011
Virginia,New Mexico,1014,2011
Virginia,Iowa,1503,2011
Virginia,Kansas,892,2011
Virginia,Kentucky,3630,2011
Virginia,Louisiana,2496,2011
Virginia,Maine,2855,2011
Virginia,Maryland,22051,2011
Virginia,Massachusetts,5386,2011
Washington,Alabama,1821,2011
Virginia,Michigan,7323,2011
Virginia,Mississippi,1682,2011
Virginia,Missouri,2277,2011
Virginia,Montana,617,2011
Virginia,Nebraska,256,2011
Virginia,Nevada,1717,2011
Virginia,New Hampshire,1344,2011
Virginia,New Jersey,7327,2011
Virginia,Minnesota,834,2011
Washington,Alaska,5266,2011
Washington,Arizona,12397,2011
Washington,Arkansas,756,2011
Washington,Mississippi,1110,2011
Washington,Missouri,3307,2011
Washington,Montana,2125,2011
Washington,Nebraska,673,2011
Washington,Nevada,4925,2011
Washington,New Hampshire,824,2011
Washington,New Jersey,2006,2011
Washington,Minnesota,1543,2011
Washington,New Mexico,1569,2011
Washington,North Carolina,3870,2011
Washington,North Dakota,189,2011
Washington,Ohio,2686,2011
Washington,Oklahoma,765,2011
Washington,Oregon,29168,2011
Washington,Pennsylvania,2296,2011
Washington,Rhode Island,463,2011
Washington,New York,4512,2011
Virginia,Indiana,2703,2011
Washington,Michigan,3720,2011
Washington,Maryland,1899,2011
Washington,California,38421,2011
Washington,Colorado,3938,2011
Washington,Connecticut,1026,2011
Washington,Delaware,0,2011
Washington,District of Columbia ,358,2011
Washington,Florida,6094,2011
Washington,Georgia,8705,2011
Washington,Massachusetts,1580,2011
Washington,Hawaii,5940,2011
Washington,Illinois,2062,2011
Washington,Indiana,2303,2011
Washington,Iowa,1000,2011
Washington,Kansas,2820,2011
Washington,Kentucky,1271,2011
Washington,Louisiana,1016,2011
Washington,Maine,1313,2011
Washington,Idaho,10895,2011
Virginia,Illinois,4000,2011
Virginia,Idaho,434,2011
Virginia,Hawaii,2917,2011
Vermont,Colorado,529,2011
Vermont,Connecticut,2105,2011
Vermont,Delaware,107,2011
Vermont,District of Columbia ,27,2011
Vermont,Florida,366,2011
Vermont,Georgia,101,2011
Vermont,Hawaii,143,2011
Vermont,California,819,2011
Vermont,Idaho,0,2011
Vermont,Indiana,258,2011
Vermont,Iowa,0,2011
Vermont,Kansas,7,2011
Vermont,Kentucky,627,2011
Vermont,Louisiana,41,2011
Vermont,Maine,322,2011
Vermont,Maryland,361,2011
Vermont,Illinois,386,2011
Vermont,Massachusetts,2378,2011
Vermont,Arkansas,0,2011
Vermont,Alaska,580,2011
Utah,Ohio,2584,2011
Utah,Oklahoma,150,2011
Utah,Oregon,2037,2011
Utah,Pennsylvania,1496,2011
Utah,Rhode Island,0,2011
Utah,South Carolina,309,2011
Utah,South Dakota,128,2011
Vermont,Arizona,310,2011
Utah,Tennessee,549,2011
Utah,Vermont,122,2011
Utah,Virginia,2413,2011
Utah,Washington,4825,2011
Utah,West Virginia,270,2011
Utah,Wisconsin,158,2011
Utah,Wyoming,1058,2011
Vermont,Alabama,0,2011
Utah,Texas,4507,2011
Washington,South Carolina,1519,2011
Vermont,Michigan,335,2011
Vermont,Mississippi,0,2011
Vermont,Virginia,740,2011
Vermont,Washington,156,2011
Vermont,West Virginia,53,2011
Vermont,Wisconsin,137,2011
Vermont,Wyoming,38,2011
Virginia,Alabama,4930,2011
Virginia,Alaska,3202,2011
Vermont,Utah,182,2011
Virginia,Arizona,4679,2011
Virginia,California,19371,2011
Virginia,Colorado,4908,2011
Virginia,Connecticut,5376,2011
Virginia,Delaware,961,2011
Virginia,District of Columbia ,6854,2011
Virginia,Florida,17773,2011
Virginia,Georgia,8715,2011
Virginia,Arkansas,645,2011
Vermont,Minnesota,206,2011
Vermont,Texas,185,2011
Vermont,South Dakota,0,2011
Vermont,Missouri,69,2011
Vermont,Montana,0,2011
Vermont,Nebraska,0,2011
Vermont,Nevada,15,2011
Vermont,New Hampshire,2244,2011
Vermont,New Jersey,962,2011
Vermont,New Mexico,56,2011
Vermont,Tennessee,327,2011
Vermont,New York,3723,2011
Vermont,North Dakota,0,2011
Vermont,Ohio,383,2011
Vermont,Oklahoma,0,2011
Vermont,Oregon,124,2011
Vermont,Pennsylvania,389,2011
Vermont,Rhode Island,401,2011
Vermont,South Carolina,21,2011
Vermont,North Carolina,250,2011
Washington,South Dakota,227,2011
Washington,Tennessee,2342,2011
Washington,Texas,15491,2011
Wisconsin,Utah,890,2011
Wisconsin,Vermont,342,2011
Wisconsin,Virginia,2573,2011
Wisconsin,Washington,1555,2011
Wisconsin,West Virginia,1090,2011
Wisconsin,Wyoming,14,2011
Wyoming,Alabama,51,2011
Wisconsin,Texas,1984,2011
Wyoming,Alaska,761,2011
Wyoming,Arkansas,174,2011
Wyoming,California,2539,2011
Wyoming,Colorado,6905,2011
Wyoming,Connecticut,11,2011
Wyoming,Delaware,0,2011
Wyoming,District of Columbia ,0,2011
Wyoming,Florida,1525,2011
Wyoming,Arizona,369,2011
Wyoming,Georgia,46,2011
Wisconsin,Tennessee,744,2011
Wisconsin,South Carolina,377,2011
Wisconsin,Mississippi,983,2011
Wisconsin,Missouri,2090,2011
Wisconsin,Montana,143,2011
Wisconsin,Nebraska,483,2011
Wisconsin,Nevada,663,2011
Wisconsin,New Hampshire,480,2011
Wisconsin,New Jersey,378,2011
Wisconsin,South Dakota,590,2011
Wisconsin,New Mexico,714,2011
Wisconsin,North Carolina,2120,2011
Wisconsin,North Dakota,1383,2011
Wisconsin,Ohio,1358,2011
Wisconsin,Oklahoma,118,2011
Wisconsin,Oregon,1057,2011
Wisconsin,Pennsylvania,1294,2011
Wisconsin,Rhode Island,368,2011
Wisconsin,New York,2213,2011
Wisconsin,Minnesota,17927,2011
Wyoming,Hawaii,0,2011
Wyoming,Illinois,450,2011
Wyoming,North Dakota,237,2011
Wyoming,Ohio,22,2011
Wyoming,Oklahoma,462,2011
Wyoming,Oregon,960,2011
Wyoming,Pennsylvania,284,2011
Wyoming,Rhode Island,13,2011
Wyoming,South Carolina,219,2011
Wyoming,North Carolina,395,2011
Wyoming,South Dakota,1043,2011
Wyoming,Texas,1398,2011
Wyoming,Utah,2140,2011
Wyoming,Vermont,4,2011
Wyoming,Virginia,451,2011
Wyoming,Washington,1803,2011
Wyoming,West Virginia,0,2011
Wyoming,Wisconsin,168,2011
